NAME,NESTAB,NRCPTOT,NAICS2017,state,county
"Putnam County, West Virginia",3258,134773,00,54,079
"Raleigh County, West Virginia",3692,152532,00,54,081
"Randolph County, West Virginia",1373,48575,00,54,083
"Ritchie County, West Virginia",546,23293,00,54,085
"Roane County, West Virginia",586,23652,00,54,087
"Summers County, West Virginia",498,17962,00,54,089
"Taylor County, West Virginia",761,33458,00,54,091
"Tucker County, West Virginia",478,16489,00,54,093
"Tyler County, West Virginia",351,10250,00,54,095
"Upshur County, West Virginia",1175,52080,00,54,097
"Wirt County, West Virginia",271,9339,00,54,105
"Wayne County, West Virginia",1557,52394,00,54,099
"Webster County, West Virginia",277,10858,00,54,101
"Wetzel County, West Virginia",517,13521,00,54,103
"Adair County, Kentucky",1663,88251,00,21,001
"Allen County, Kentucky",1506,76534,00,21,003
"Anderson County, Kentucky",1584,66709,00,21,005
"Wolfe County, Kentucky",413,18096,00,21,237
"Woodford County, Kentucky",2360,114339,00,21,239
"Ballard County, Kentucky",486,20389,00,21,007
"Barren County, Kentucky",3540,256545,00,21,009
"Bath County, Kentucky",870,35480,00,21,011
"Bell County, Kentucky",1258,47795,00,21,013
"Boone County, Kentucky",9115,433832,00,21,015
"Bourbon County, Kentucky",1373,69161,00,21,017
"Boyd County, Kentucky",2583,109213,00,21,019
"Boyle County, Kentucky",2106,89301,00,21,021
"Bracken County, Kentucky",564,20842,00,21,023
"Breathitt County, Kentucky",544,17898,00,21,025
"Butler County, Kentucky",819,40179,00,21,031
"Breckinridge County, Kentucky",1450,71128,00,21,027
"Bullitt County, Kentucky",4944,226994,00,21,029
"Caldwell County, Kentucky",734,30823,00,21,033
"Calloway County, Kentucky",2736,129306,00,21,035
"Campbell County, Kentucky",6240,273127,00,21,037
"Carlisle County, Kentucky",414,21037,00,21,039
"Carroll County, Kentucky",596,25444,00,21,041
"Carter County, Kentucky",1649,72912,00,21,043
"Casey County, Kentucky",1275,67588,00,21,045
"Christian County, Kentucky",3997,198951,00,21,047
"Clark County, Kentucky",2321,107285,00,21,049
"Clay County, Kentucky",1138,38384,00,21,051
"Clinton County, Kentucky",777,36984,00,21,053
"Crittenden County, Kentucky",637,31567,00,21,055
"Cumberland County, Kentucky",576,26576,00,21,057
"Daviess County, Kentucky",6456,302300,00,21,059
"Edmonson County, Kentucky",1000,49710,00,21,061
"Elliott County, Kentucky",361,15178,00,21,063
"Estill County, Kentucky",794,24089,00,21,065
"Fayette County, Kentucky",26655,1391847,00,21,067
"Fleming County, Kentucky",1369,74730,00,21,069
"Floyd County, Kentucky",2097,90929,00,21,071
"Franklin County, Kentucky",3459,140564,00,21,073
"Grant County, Kentucky",1549,78441,00,21,081
"Fulton County, Kentucky",292,12544,00,21,075
"Gallatin County, Kentucky",410,18218,00,21,077
"Garrard County, Kentucky",1444,65915,00,21,079
