state,county,NAME,EMP_ambulatory,EMP_hospitals,total_healthcare_employment
37,007,"Anson County, North Carolina",349,0.0,349.0
37,009,"Ashe County, North Carolina",349,0.0,349.0
37,011,"Avery County, North Carolina",234,0.0,234.0
37,013,"Beaufort County, North Carolina",703,674.0,1377.0
37,015,"Bertie County, North Carolina",290,0.0,290.0
37,017,"Bladen County, North Carolina",502,0.0,502.0
37,019,"Brunswick County, North Carolina",1629,0.0,1629.0
37,021,"Buncombe County, North Carolina",13043,6812.0,19855.0
37,023,"Burke County, North Carolina",1596,2687.0,4283.0
37,025,"Cabarrus County, North Carolina",3748,0.0,3748.0
37,027,"Caldwell County, North Carolina",2290,0.0,2290.0
37,029,"Camden County, North Carolina",25,0.0,25.0
37,031,"Carteret County, North Carolina",1394,0.0,1394.0
37,033,"Caswell County, North Carolina",187,0.0,187.0
37,035,"Catawba County, North Carolina",4860,0.0,4860.0
37,037,"Chatham County, North Carolina",850,0.0,850.0
37,039,"Cherokee County, North Carolina",455,0.0,455.0
37,041,"Chowan County, North Carolina",204,334.0,538.0
37,043,"Clay County, North Carolina",137,0.0,137.0
37,045,"Cleveland County, North Carolina",2040,0.0,2040.0
37,047,"Columbus County, North Carolina",1035,0.0,1035.0
37,049,"Craven County, North Carolina",2410,0.0,2410.0
37,051,"Cumberland County, North Carolina",7580,6534.0,14114.0
37,053,"Currituck County, North Carolina",116,0.0,116.0
37,055,"Dare County, North Carolina",365,419.0,784.0
37,057,"Davidson County, North Carolina",1130,0.0,1130.0
37,059,"Davie County, North Carolina",405,0.0,405.0
37,061,"Duplin County, North Carolina",784,390.0,1174.0
37,063,"Durham County, North Carolina",10723,13994.0,24717.0
37,065,"Edgecombe County, North Carolina",463,568.0,1031.0
37,067,"Forsyth County, North Carolina",10705,25249.0,35954.0
37,069,"Franklin County, North Carolina",314,0.0,314.0
37,071,"Gaston County, North Carolina",4991,3363.0,8354.0
37,073,"Gates County, North Carolina",34,0.0,34.0
37,075,"Graham County, North Carolina",108,0.0,108.0
37,077,"Granville County, North Carolina",577,0.0,577.0
37,079,"Greene County, North Carolina",249,0.0,249.0
37,081,"Guilford County, North Carolina",17919,6758.0,24677.0
37,083,"Halifax County, North Carolina",1089,0.0,1089.0
37,085,"Harnett County, North Carolina",1351,0.0,1351.0
37,087,"Haywood County, North Carolina",909,0.0,909.0
37,089,"Henderson County, North Carolina",2436,2147.0,4583.0
37,091,"Hertford County, North Carolina",591,533.0,1124.0
37,093,"Hoke County, North Carolina",614,0.0,614.0
37,095,"Hyde County, North Carolina",23,0.0,23.0
37,097,"Iredell County, North Carolina",3889,2708.0,6597.0
37,099,"Jackson County, North Carolina",660,0.0,660.0
37,101,"Johnston County, North Carolina",2595,0.0,2595.0
37,103,"Jones County, North Carolina",106,0.0,106.0
37,105,"Lee County, North Carolina",1154,0.0,1154.0
37,107,"Lenoir County, North Carolina",1189,0.0,1189.0
37,109,"Lincoln County, North Carolina",1486,0.0,1486.0
37,111,"McDowell County, North Carolina",636,0.0,636.0
37,113,"Macon County, North Carolina",1066,0.0,1066.0
37,115,"Madison County, North Carolina",198,0.0,198.0
37,117,"Martin County, North Carolina",343,0.0,343.0
37,119,"Mecklenburg County, North Carolina",33772,23984.0,57756.0
37,121,"Mitchell County, North Carolina",714,0.0,714.0
37,123,"Montgomery County, North Carolina",319,0.0,319.0
37,125,"Moore County, North Carolina",3236,0.0,3236.0
37,127,"Nash County, North Carolina",1951,1854.0,3805.0
37,129,"New Hanover County, North Carolina",7860,0.0,7860.0
37,131,"Northampton County, North Carolina",255,0.0,255.0
37,133,"Onslow County, North Carolina",2240,1572.0,3812.0
37,135,"Orange County, North Carolina",1841,0.0,1841.0
37,137,"Pamlico County, North Carolina",160,0.0,160.0
37,139,"Pasquotank County, North Carolina",982,0.0,982.0
37,141,"Pender County, North Carolina",678,0.0,678.0
37,143,"Perquimans County, North Carolina",51,0.0,51.0
37,145,"Person County, North Carolina",452,0.0,452.0
37,147,"Pitt County, North Carolina",6477,6433.0,12910.0
37,149,"Polk County, North Carolina",227,0.0,227.0
37,151,"Randolph County, North Carolina",1573,0.0,1573.0
37,153,"Richmond County, North Carolina",760,0.0,760.0
37,155,"Robeson County, North Carolina",2659,0.0,2659.0
37,157,"Rockingham County, North Carolina",979,0.0,979.0
37,159,"Rowan County, North Carolina",2121,0.0,2121.0
37,161,"Rutherford County, North Carolina",674,0.0,674.0
37,163,"Sampson County, North Carolina",760,0.0,760.0
37,165,"Scotland County, North Carolina",776,0.0,776.0
37,167,"Stanly County, North Carolina",803,0.0,803.0
37,169,"Stokes County, North Carolina",234,0.0,234.0
37,171,"Surry County, North Carolina",1180,0.0,1180.0
37,173,"Swain County, North Carolina",102,0.0,102.0
37,175,"Transylvania County, North Carolina",577,0.0,577.0
37,177,"Tyrrell County, North Carolina",8,0.0,8.0
37,179,"Union County, North Carolina",2231,0.0,2231.0
37,181,"Vance County, North Carolina",896,0.0,896.0
37,183,"Wake County, North Carolina",35771,18716.0,54487.0
37,185,"Warren County, North Carolina",220,0.0,220.0
37,187,"Washington County, North Carolina",154,0.0,154.0
37,189,"Watauga County, North Carolina",1316,0.0,1316.0
37,191,"Wayne County, North Carolina",1777,0.0,1777.0
37,193,"Wilkes County, North Carolina",507,0.0,507.0
37,195,"Wilson County, North Carolina",2096,0.0,2096.0
37,197,"Yadkin County, North Carolina",413,0.0,413.0
37,199,"Yancey County, North Carolina",249,0.0,249.0
42,001,"Adams County, Pennsylvania",1282,0.0,1282.0
42,003,"Allegheny County, Pennsylvania",52184,44902.0,97086.0
42,005,"Armstrong County, Pennsylvania",1052,0.0,1052.0
42,007,"Beaver County, Pennsylvania",2864,0.0,2864.0
42,009,"Bedford County, Pennsylvania",722,0.0,722.0
