fips,NAME,total_16_plus,in_labor_force,labor_force_participation_rate
51690,"Martinsville city, Virginia",10423,5801,55.65576129713135
51700,"Newport News city, Virginia",146362,98936,67.59678058512455
51710,"Norfolk city, Virginia",193396,135284,69.95180872406875
51720,"Norton city, Virginia",3138,1624,51.75270873167622
51730,"Petersburg city, Virginia",26552,16572,62.41337752335041
51735,"Poquoson city, Virginia",10127,6529,64.47121556235805
51740,"Portsmouth city, Virginia",76971,48578,63.112081173428955
51750,"Radford city, Virginia",14626,8614,58.895118282510595
51760,"Richmond city, Virginia",191845,130386,67.9642419661706
51770,"Roanoke city, Virginia",78982,50416,63.83226557949912
51775,"Salem city, Virginia",21295,13010,61.094153557173044
51790,"Staunton city, Virginia",21266,13064,61.43139283363115
51800,"Suffolk city, Virginia",75125,49961,66.50382695507487
51810,"Virginia Beach city, Virginia",368638,256284,69.52186155523847
51820,"Waynesboro city, Virginia",17750,11495,64.7605633802817
51830,"Williamsburg city, Virginia",14106,6965,49.376151992060116
51840,"Winchester city, Virginia",22761,15427,67.77821712578533
42001,"Adams County, Pennsylvania",86478,53879,62.30370730127894
42003,"Allegheny County, Pennsylvania",1040488,674344,64.81035821652917
42005,"Armstrong County, Pennsylvania",54730,31838,58.17284852914306
42007,"Beaver County, Pennsylvania",139229,85175,61.17619174166301
42009,"Bedford County, Pennsylvania",39710,23213,58.45630823470158
42011,"Berks County, Pennsylvania",345342,223774,64.79779464994122
42013,"Blair County, Pennsylvania",101006,60094,59.49547551630596
42015,"Bradford County, Pennsylvania",48709,27291,56.0286600012318
42017,"Bucks County, Pennsylvania",533022,356988,66.97434627463782
42019,"Butler County, Pennsylvania",161324,101526,62.93297959386081
42021,"Cambria County, Pennsylvania",111150,60874,54.76743139901035
42023,"Cameron County, Pennsylvania",3821,1949,51.007589636220885
42025,"Carbon County, Pennsylvania",54210,33083,61.0274857037447
42027,"Centre County, Pennsylvania",138066,77947,56.45633247866962
42029,"Chester County, Pennsylvania",432259,294852,68.21188222801608
42031,"Clarion County, Pennsylvania",31293,18446,58.94609017991244
42033,"Clearfield County, Pennsylvania",66993,37141,55.44012060961593
42035,"Clinton County, Pennsylvania",31233,18628,59.64204527262831
42037,"Columbia County, Pennsylvania",54990,31799,57.82687761411166
42039,"Crawford County, Pennsylvania",68806,38379,55.778565822748014
42041,"Cumberland County, Pennsylvania",214390,137541,64.15457810532207
42043,"Dauphin County, Pennsylvania",229649,150331,65.46120383716018
42045,"Delaware County, Pennsylvania",462613,306840,66.32757834302106
42047,"Elk County, Pennsylvania",25717,16022,62.30120153983746
42049,"Erie County, Pennsylvania",220536,131780,59.754416512496825
42051,"Fayette County, Pennsylvania",106890,58602,54.82458602301431
42053,"Forest County, Pennsylvania",6312,1703,26.980354879594426
42055,"Franklin County, Pennsylvania",125692,78598,62.532221621105556
42057,"Fulton County, Pennsylvania",12078,7143,59.14058618976652
42059,"Greene County, Pennsylvania",29852,15007,50.27133860377864
42061,"Huntingdon County, Pennsylvania",37256,19332,51.88962851621215
42063,"Indiana County, Pennsylvania",70363,39099,55.56755681252932
42065,"Jefferson County, Pennsylvania",36098,21070,58.36888470275362
42067,"Juniata County, Pennsylvania",19085,11276,59.08304951532617
42069,"Lackawanna County, Pennsylvania",177591,107611,60.59484996424368
42071,"Lancaster County, Pennsylvania",438998,289749,66.00235080797636
42073,"Lawrence County, Pennsylvania",71031,41729,58.74758908082387
42075,"Lebanon County, Pennsylvania",114296,72049,63.03720165185134
42077,"Lehigh County, Pennsylvania",299756,194675,64.94448818372275
42079,"Luzerne County, Pennsylvania",267917,163459,61.01105939526047
42081,"Lycoming County, Pennsylvania",93391,55431,59.35368504459745
42083,"McKean County, Pennsylvania",33555,18574,55.35389658769185
42085,"Mercer County, Pennsylvania",92473,50842,54.98037264931386
42087,"Mifflin County, Pennsylvania",36936,22120,59.88737275286983
42089,"Monroe County, Pennsylvania",139579,84535,60.564268263850586
42091,"Montgomery County, Pennsylvania",694999,473658,68.15232827673134
42093,"Montour County, Pennsylvania",14937,8981,60.1258619535382
42095,"Northampton County, Pennsylvania",260869,163653,62.73378592320283
42097,"Northumberland County, Pennsylvania",75640,43524,57.540983606557376
42099,"Perry County, Pennsylvania",37380,23175,61.9983948635634
42101,"Philadelphia County, Pennsylvania",1284522,807065,62.82998656309506
42103,"Pike County, Pennsylvania",50434,28876,57.25502637109886
42105,"Potter County, Pennsylvania",13475,7174,53.23933209647495
42107,"Schuylkill County, Pennsylvania",118431,68315,57.683376818569464
42109,"Snyder County, Pennsylvania",32650,19895,60.93415007656968
42111,"Somerset County, Pennsylvania",61989,34555,55.743760989853044
42113,"Sullivan County, Pennsylvania",5314,2697,50.75272864132481
42115,"Susquehanna County, Pennsylvania",32209,17864,55.462758856220304
42117,"Tioga County, Pennsylvania",34162,19412,56.82337099701422
42119,"Union County, Pennsylvania",36344,17480,48.09597182478538
42121,"Venango County, Pennsylvania",42175,23307,55.26259632483699
42123,"Warren County, Pennsylvania",31934,18153,56.84536857268115
42125,"Washington County, Pennsylvania",173553,107702,62.0571237604651
42127,"Wayne County, Pennsylvania",43747,22553,51.55324936567078
42129,"Westmoreland County, Pennsylvania",297917,180615,60.62594615278753
42131,"Wyoming County, Pennsylvania",21842,12622,57.78774837469096
42133,"York County, Pennsylvania",369456,242040,65.51253735221515
24001,"Allegany County, Maryland",57489,28517,49.60427212162327
24003,"Anne Arundel County, Maryland",470581,324555,68.96899789834269
24005,"Baltimore County, Maryland",688433,454140,65.96720378017903
24009,"Calvert County, Maryland",74441,50022,67.19684045082684
24011,"Caroline County, Maryland",26411,16808,63.64014993752603
24013,"Carroll County, Maryland",140562,94584,67.28987919921458
24015,"Cecil County, Maryland",83618,52880,63.239972254777676
24017,"Charles County, Maryland",132209,90903,68.75704377160406
24019,"Dorchester County, Maryland",26687,15877,59.49338629295162
24021,"Frederick County, Maryland",217616,151328,69.53900448496434
24023,"Garrett County, Maryland",24411,14221,58.25652369833272
24025,"Harford County, Maryland",210066,142264,67.72347738329859
24027,"Howard County, Maryland",261898,183533,70.07804565136045
24029,"Kent County, Maryland",16670,9679,58.0623875224955
24031,"Montgomery County, Maryland",843577,592682,70.25819812536378
24033,"Prince George's County, Maryland",767992,540258,70.34682652944302
24035,"Queen Anne's County, Maryland",40905,27224,66.55421097665322
24037,"St. Mary's County, Maryland",89977,61521,68.37414005801482
24039,"Somerset County, Maryland",21073,10393,49.319033834764866
24041,"Talbot County, Maryland",31651,17654,55.7770686550188
24043,"Washington County, Maryland",124977,74982,59.99663938164622
24045,"Wicomico County, Maryland",83687,54789,65.4689497771458
24047,"Worcester County, Maryland",44856,26474,59.01997503121099
24510,"Baltimore city, Maryland",477510,296670,62.128541810642716
10001,"Kent County, Delaware",145431,89645,61.64091562321651
