ESTABS_ENTRY,ESTABS_EXIT,ESTAB,YEAR,NAICS,state,county
105,62,645,2021,00,47,047
29,20,251,2021,00,47,049
57,51,664,2021,00,47,051
81,77,855,2021,00,47,053
39,41,507,2021,00,47,055
25,16,217,2021,00,47,057
88,73,1133,2021,00,47,059
7,11,129,2021,00,47,061
96,89,1225,2021,00,47,063
960,739,8934,2021,00,47,065
5,0,53,2021,00,47,067
37,34,332,2021,00,47,069
53,44,569,2021,00,47,073
25,26,266,2021,00,47,075
38,35,454,2021,00,47,077
52,55,647,2021,00,47,079
24,30,273,2021,00,47,081
12,12,98,2021,00,47,083
34,31,309,2021,00,47,085
66,63,681,2021,00,47,089
25,15,218,2021,00,47,091
1146,925,11261,2021,00,47,093
6,6,62,2021,00,47,095
19,34,267,2021,00,47,097
68,52,714,2021,00,47,099
22,13,210,2021,00,47,101
44,44,543,2021,00,47,103
68,72,904,2021,00,47,105
71,60,881,2021,00,47,107
36,26,385,2021,00,47,109
22,27,292,2021,00,47,111
209,190,2418,2021,00,47,113
44,35,433,2021,00,47,115
41,31,493,2021,00,47,117
189,132,1750,2021,00,47,119
10,8,91,2021,00,47,121
60,55,677,2021,00,47,123
353,265,2924,2021,00,47,125
8,0,76,2021,00,47,127
7,12,136,2021,00,47,129
47,48,584,2021,00,47,131
33,27,318,2021,00,47,133
9,7,103,2021,00,47,135
5,9,71,2021,00,47,137
26,25,202,2021,00,47,139
171,126,1779,2021,00,47,141
34,40,459,2021,00,47,143
49,61,687,2021,00,47,145
127,99,1214,2021,00,47,147
607,456,5385,2021,00,47,149
19,16,309,2021,00,47,151
13,15,176,2021,00,47,153
266,222,2713,2021,00,47,155
1957,1618,18541,2021,00,47,157
26,25,257,2021,00,47,159
16,12,157,2021,00,47,161
259,287,3066,2021,00,47,163
390,261,3222,2021,00,47,165
71,70,670,2021,00,47,167
16,12,113,2021,00,47,169
17,15,224,2021,00,47,171
14,12,187,2021,00,47,173
10,8,43,2021,00,47,175
241,256,2796,2021,00,47,179
25,15,200,2021,00,47,181
34,48,511,2021,00,47,183
326,246,2776,2021,00,47,189
945,702,7278,2021,00,47,187
68,55,607,2021,00,47,021
29,21,233,2021,00,47,023
85,76,955,2021,00,47,043
42,30,473,2021,00,47,071
12,4,109,2021,00,47,087
44,49,703,2021,00,47,177
35,31,390,2021,00,47,185
289,259,3221,2021,00,37,001
45,36,526,2021,00,37,003
23,21,228,2021,00,37,005
32,34,357,2021,00,37,007
57,39,510,2021,00,37,009
72,65,1009,2021,00,37,013
26,21,278,2021,00,37,015
302,211,2502,2021,00,37,019
1111,823,8370,2021,00,37,021
93,96,1294,2021,00,37,027
49,38,429,2021,00,37,011
41,36,504,2021,00,37,017
538,404,4403,2021,00,37,025
14,7,113,2021,00,37,029
22,25,211,2021,00,37,033
304,312,3950,2021,00,37,035
59,34,564,2021,00,37,039
25,33,333,2021,00,37,041
161,140,1843,2021,00,37,045
155,139,1357,2021,00,37,037
23,16,206,2021,00,37,043
559,505,5367,2021,00,37,051
108,100,1381,2021,00,37,023
191,167,1912,2021,00,37,031
74,75,887,2021,00,37,047
69,50,615,2021,00,37,053
241,222,2606,2021,00,37,057
70,77,765,2021,00,37,059
829,764,7109,2021,00,37,063
58,54,650,2021,00,37,065
174,172,1992,2021,00,37,049
5,7,110,2021,00,37,073
178,147,1719,2021,00,37,055
74,58,815,2021,00,37,061
737,746,8059,2021,00,37,067
135,107,1011,2021,00,37,069
440,332,4106,2021,00,37,071
80,72,844,2021,00,37,077
48,14,276,2021,00,37,079
67,82,843,2021,00,37,083
172,127,1679,2021,00,37,085
286,210,2669,2021,00,37,089
17,24,428,2021,00,37,091
17,15,147,2021,00,37,075
1239,1052,12777,2021,00,37,081
144,115,1312,2021,00,37,087
59,52,426,2021,00,37,093
20,12,128,2021,00,37,095
529,417,4654,2021,00,37,097
407,297,3423,2021,00,37,101
17,12,119,2021,00,37,103
87,85,1125,2021,00,37,107
198,132,1730,2021,00,37,109
88,55,759,2021,00,37,111
43,33,329,2021,00,37,115
805,652,7330,2021,00,37,129
33,19,337,2021,00,37,121
99,89,938,2021,00,37,099
131,100,1299,2021,00,37,105
122,88,1080,2021,00,37,113
48,35,422,2021,00,37,117
25,47,459,2021,00,37,123
160,136,1968,2021,00,37,127
295,246,2750,2021,00,37,133
331,327,2963,2021,00,37,135
55,64,842,2021,00,37,139
55,62,643,2021,00,37,145
4042,3196,31096,2021,00,37,119
211,197,2172,2021,00,37,125
21,28,242,2021,00,37,131
24,18,216,2021,00,37,137
171,84,1146,2021,00,37,141
391,290,3467,2021,00,37,147
202,191,2347,2021,00,37,151
54,61,741,2021,00,37,153
146,143,1680,2021,00,37,155
231,212,2495,2021,00,37,159
89,99,1139,2021,00,37,161
45,29,333,2021,00,37,173
16,19,162,2021,00,37,143
36,47,442,2021,00,37,149
127,139,1498,2021,00,37,157
74,62,917,2021,00,37,163
55,32,582,2021,00,37,165
108,94,1294,2021,00,37,167
109,113,1495,2021,00,37,171
5,4,64,2021,00,37,177
641,455,4752,2021,00,37,179
3622,2659,28427,2021,00,37,183
34,28,267,2021,00,37,185
47,40,559,2021,00,37,197
25,31,309,2021,00,37,199
86,103,1085,2021,00,37,193
50,58,599,2021,00,37,169
114,72,864,2021,00,37,175
63,67,796,2021,00,37,181
20,18,205,2021,00,37,187
151,140,1522,2021,00,37,189
157,154,1995,2021,00,37,191
153,126,1640,2021,00,37,195
29,22,307,2021,00,45,001
255,222,2733,2021,00,45,003
5,6,109,2021,00,45,005
333,280,3642,2021,00,45,007
17,26,230,2021,00,45,009
576,462,5110,2021,00,45,013
492,260,3409,2021,00,45,015
1521,1272,13294,2021,00,45,019
66,83,885,2021,00,45,021
50,42,633,2021,00,45,025
40,31,448,2021,00,45,027
16,27,313,2021,00,45,011
15,13,225,2021,00,45,017
34,33,508,2021,00,45,023
295,220,3016,2021,00,45,041
59,57,697,2021,00,45,029
88,73,1031,2021,00,45,031
40,35,432,2021,00,45,033
27,22,305,2021,00,45,037
24,24,302,2021,00,45,039
1479,1116,13039,2021,00,45,045
98,79,1247,2021,00,45,047
1075,785,8898,2021,00,45,051
92,60,726,2021,00,45,053
338,195,2456,2021,00,45,035
76,59,886,2021,00,45,059
165,116,1631,2021,00,45,043
658,511,6531,2021,00,45,063
24,28,279,2021,00,45,049
173,103,1434,2021,00,45,057
180,162,1915,2021,00,45,077
5,6,88,2021,00,45,065
20,23,308,2021,00,45,069
54,67,720,2021,00,45,071
106,103,1498,2021,00,45,075
645,430,5262,2021,00,45,091
643,496,6423,2021,00,45,083
108,99,1062,2021,00,45,055
24,13,197,2021,00,45,061
48,24,461,2021,00,45,067
162,131,1684,2021,00,45,085
161,133,1524,2021,00,45,073
853,745,8462,2021,00,45,079
43,37,451,2021,00,45,089
17,23,210,2021,00,45,081
31,25,377,2021,00,45,087
35,20,355,2021,00,13,001
4,6,84,2021,00,13,003
19,23,214,2021,00,13,005
3,4,28,2021,00,13,007
33,20,291,2021,00,13,011
152,115,1252,2021,00,13,013
19,16,234,2021,00,13,019
71,47,796,2021,00,13,009
18,19,279,2021,00,13,017
16,19,152,2021,00,13,023
16,13,201,2021,00,13,025
91,50,678,2021,00,13,029
160,111,1450,2021,00,13,031
48,32,394,2021,00,13,035
8,4,64,2021,00,13,037
85,60,927,2021,00,13,047
208,154,2058,2021,00,13,045
222,155,2092,2021,00,13,015
361,343,3920,2021,00,13,021
20,18,204,2021,00,13,027
39,22,337,2021,00,13,033
18,22,194,2021,00,13,043
839,663,7663,2021,00,13,051
6,6,52,2021,00,13,053
692,498,5288,2021,00,13,057
286,249,2884,2021,00,13,059
666,377,4004,2021,00,13,063
10,11,141,2021,00,13,049
58,65,777,2021,00,13,069
85,79,807,2021,00,13,039
23,25,292,2021,00,13,055
8,4,40,2021,00,13,061
7,10,123,2021,00,13,065
77,77,820,2021,00,13,071
23,18,285,2021,00,13,075
361,211,2550,2021,00,13,077
33,37,456,2021,00,13,081
23,18,206,2021,00,13,083
67,54,613,2021,00,13,085
2624,1965,18944,2021,00,13,067
286,201,2478,2021,00,13,073
11,9,115,2021,00,13,079
43,39,570,2021,00,13,087
2477,1845,16261,2021,00,13,089
11,10,209,2021,00,13,109
24,20,282,2021,00,13,091
170,182,2086,2021,00,13,095
378,238,2574,2021,00,13,097
0,3,28,2021,00,13,101
98,74,754,2021,00,13,103
24,27,353,2021,00,13,107
171,158,1857,2021,00,13,115
17,17,138,2021,00,13,093
14,13,190,2021,00,13,099
31,41,397,2021,00,13,105
70,49,624,2021,00,13,111
410,305,3329,2021,00,13,113
46,29,442,2021,00,13,119
5389,3965,34085,2021,00,13,121
0,0,27,2021,00,13,125
226,208,2387,2021,00,13,127
93,72,976,2021,00,13,129
43,41,456,2021,00,13,133
3436,2427,23085,2021,00,13,135
4,5,59,2021,00,13,141
926,609,6231,2021,00,13,117
62,39,555,2021,00,13,123
39,21,418,2021,00,13,131
481,343,4413,2021,00,13,139
38,45,395,2021,00,13,145
45,27,414,2021,00,13,147
627,365,3898,2021,00,13,151
294,203,2513,2021,00,13,153
166,123,1338,2021,00,13,157
25,14,175,2021,00,13,159
7,4,97,2021,00,13,165
88,62,811,2021,00,13,137
45,46,474,2021,00,13,143
17,12,120,2021,00,13,149
4,6,105,2021,00,13,155
19,25,287,2021,00,13,163
19,5,87,2021,00,13,183
7,10,111,2021,00,13,167
33,21,260,2021,00,13,171
5,7,92,2021,00,13,173
57,33,394,2021,00,13,177
86,67,817,2021,00,13,179
33,30,397,2021,00,13,189
21,12,224,2021,00,13,161
31,26,318,2021,00,13,169
81,80,1017,2021,00,13,175
17,10,141,2021,00,13,181
246,223,2623,2021,00,13,185
16,19,159,2021,00,13,191
49,30,375,2021,00,13,195
11,4,86,2021,00,13,197
5,4,119,2021,00,13,201
33,31,330,2021,00,13,205
7,14,91,2021,00,13,209
8,19,161,2021,00,13,193
54,18,300,2021,00,13,199
56,27,485,2021,00,13,211
56,54,611,2021,00,13,187
56,28,502,2021,00,13,207
32,27,376,2021,00,13,213
207,125,1424,2021,00,13,217
126,82,1132,2021,00,13,219
313,184,2014,2021,00,13,223
50,39,458,2021,00,13,225
34,20,326,2021,00,13,229
30,30,244,2021,00,13,231
49,36,427,2021,00,13,237
411,391,4176,2021,00,13,215
20,21,158,2021,00,13,221
59,45,685,2021,00,13,227
43,51,564,2021,00,13,233
13,8,172,2021,00,13,235
38,46,444,2021,00,13,241
9,12,119,2021,00,13,243
305,167,2042,2021,00,13,247
10,0,62,2021,00,13,249
17,12,209,2021,00,13,251
138,83,1118,2021,00,13,255
39,31,498,2021,00,13,257
0,4,29,2021,00,13,239
6,5,51,2021,00,13,263
364,345,3967,2021,00,13,245
12,15,149,2021,00,13,253
20,10,157,2021,00,13,273
35,51,568,2021,00,13,261
22,24,276,2021,00,13,267
8,4,121,2021,00,13,269
104,94,1079,2021,00,13,275
59,55,625,2021,00,13,279
37,27,269,2021,00,13,281
327,106,1595,2021,00,13,285
7,4,55,2021,00,13,259
0,0,17,2021,00,13,265
7,13,163,2021,00,13,271
74,38,567,2021,00,13,291
77,77,1012,2021,00,13,277
13,15,139,2021,00,13,287
42,31,428,2021,00,13,293
57,52,666,2021,00,13,295
63,57,838,2021,00,13,299
7,7,74,2021,00,13,301
7,11,75,2021,00,13,283
8,3,73,2021,00,13,289
228,133,1672,2021,00,13,297
18,20,330,2021,00,13,303
52,46,555,2021,00,13,305
0,0,27,2021,00,13,307
70,52,622,2021,00,13,311
151,139,2090,2021,00,13,313
11,11,171,2021,00,13,317
17,13,134,2021,00,13,319
3,8,47,2021,00,13,309
3,6,77,2021,00,13,315
18,29,241,2021,00,13,321
