NAME,EMP,ESTAB,NAICS2017,state,county
"Snyder County, Pennsylvania",100,16,51,42,109
"Susquehanna County, Pennsylvania",97,12,51,42,115
"Tioga County, Pennsylvania",147,23,51,42,117
"Union County, Pennsylvania",95,13,51,42,119
"Warren County, Pennsylvania",77,13,51,42,123
"Washington County, Pennsylvania",2932,80,51,42,125
"Wyoming County, Pennsylvania",54,9,51,42,131
"Somerset County, Pennsylvania",79,16,51,42,111
"Westmoreland County, Pennsylvania",1125,116,51,42,129
"York County, Pennsylvania",988,136,51,42,133
"Bucks County, Pennsylvania",3287,284,51,42,017
"Cambria County, Pennsylvania",963,67,51,42,021
"Centre County, Pennsylvania",942,77,51,42,027
"Chester County, Pennsylvania",9886,345,51,42,029
"Clearfield County, Pennsylvania",175,23,51,42,033
"Crawford County, Pennsylvania",389,39,51,42,039
"Cumberland County, Pennsylvania",1166,102,51,42,041
"Dauphin County, Pennsylvania",1995,134,51,42,043
"Delaware County, Pennsylvania",5406,247,51,42,045
"Juniata County, Pennsylvania",30,4,51,42,067
"Lackawanna County, Pennsylvania",1429,82,51,42,069
"Lancaster County, Pennsylvania",1883,175,51,42,071
"Lawrence County, Pennsylvania",178,22,51,42,073
"Lebanon County, Pennsylvania",299,39,51,42,075
"Lehigh County, Pennsylvania",2158,137,51,42,077
"Luzerne County, Pennsylvania",1989,129,51,42,079
"Mercer County, Pennsylvania",462,29,51,42,085
"Montgomery County, Pennsylvania",13700,581,51,42,091
"Montour County, Pennsylvania",19,3,51,42,093
"Northampton County, Pennsylvania",1286,111,51,42,095
"Philadelphia County, Pennsylvania",23076,601,51,42,101
"Wayne County, Pennsylvania",60,21,51,42,127
"Allegany County, Maryland",468,32,51,24,001
"Anne Arundel County, Maryland",3227,251,51,24,003
"Baltimore County, Maryland",5244,303,51,24,005
"Charles County, Maryland",363,38,51,24,017
"Worcester County, Maryland",158,32,51,24,047
"Wicomico County, Maryland",794,49,51,24,045
"Baltimore city, Maryland",4010,250,51,24,510
"Calvert County, Maryland",129,16,51,24,009
"Caroline County, Maryland",36,9,51,24,011
"Carroll County, Maryland",296,50,51,24,013
"Cecil County, Maryland",102,15,51,24,015
"Dorchester County, Maryland",41,10,51,24,019
"Frederick County, Maryland",977,91,51,24,021
"Garrett County, Maryland",418,14,51,24,023
"Harford County, Maryland",736,74,51,24,025
"Howard County, Maryland",6316,176,51,24,027
"Kent County, Maryland",57,7,51,24,029
"Montgomery County, Maryland",13682,640,51,24,031
"Prince George's County, Maryland",5538,267,51,24,033
"Queen Anne's County, Maryland",110,19,51,24,035
"St. Mary's County, Maryland",243,26,51,24,037
"Somerset County, Maryland",5,4,51,24,039
"Talbot County, Maryland",302,13,51,24,041
"Washington County, Maryland",1270,48,51,24,043
"Kent County, Delaware",1062,187,51,10,001
"New Castle County, Delaware",4572,522,51,10,003
"Sussex County, Delaware",537,101,51,10,005
"Barbour County, West Virginia",10,4,51,54,001
"Berkeley County, West Virginia",207,30,51,54,003
"Boone County, West Virginia",23,5,51,54,005
"Braxton County, West Virginia",25,7,51,54,007
"Calhoun County, West Virginia",3,3,51,54,013
"Doddridge County, West Virginia",10,3,51,54,017
"Fayette County, West Virginia",53,10,51,54,019
"Greenbrier County, West Virginia",111,16,51,54,025
"Hancock County, West Virginia",33,10,51,54,029
"Hardy County, West Virginia",67,6,51,54,031
"Jefferson County, West Virginia",90,13,51,54,037
"Lincoln County, West Virginia",32,7,51,54,043
"Logan County, West Virginia",110,16,51,54,045
"McDowell County, West Virginia",27,5,51,54,047
"Mason County, West Virginia",8,4,51,54,053
"Mineral County, West Virginia",501,9,51,54,057
"Morgan County, West Virginia",25,4,51,54,065
"Ohio County, West Virginia",403,19,51,54,069
"Pleasants County, West Virginia",13,3,51,54,073
"Roane County, West Virginia",6,4,51,54,087
"Summers County, West Virginia",15,3,51,54,089
"Upshur County, West Virginia",81,12,51,54,097
"Wayne County, West Virginia",15,6,51,54,099
"Cabell County, West Virginia",787,44,51,54,011
"Gilmer County, West Virginia",6,3,51,54,021
"Grant County, West Virginia",14,3,51,54,023
"Jackson County, West Virginia",63,9,51,54,035
"Lewis County, West Virginia",55,7,51,54,041
"Marshall County, West Virginia",11,4,51,54,051
"Mercer County, West Virginia",214,19,51,54,055
"Mingo County, West Virginia",14,5,51,54,059
"Nicholas County, West Virginia",48,7,51,54,067
"Pendleton County, West Virginia",18,4,51,54,071
"Pocahontas County, West Virginia",14,3,51,54,075
"Preston County, West Virginia",57,14,51,54,077
"Putnam County, West Virginia",363,30,51,54,079
"Randolph County, West Virginia",79,9,51,54,083
"Wood County, West Virginia",389,30,51,54,107
"Wyoming County, West Virginia",11,5,51,54,109
"Marion County, West Virginia",123,17,51,54,049
"Raleigh County, West Virginia",314,29,51,54,081
"Wetzel County, West Virginia",38,8,51,54,103
"Harrison County, West Virginia",462,30,51,54,033
"Kanawha County, West Virginia",1399,83,51,54,039
"Monongalia County, West Virginia",437,35,51,54,061
"Adair County, Kentucky",60,5,51,21,001
"Allen County, Kentucky",20,6,51,21,003
"Anderson County, Kentucky",18,6,51,21,005
"Ballard County, Kentucky",103,4,51,21,007
"Clay County, Kentucky",21,4,51,21,051
"Breathitt County, Kentucky",12,4,51,21,025
"Butler County, Kentucky",14,3,51,21,031
"Estill County, Kentucky",40,8,51,21,065
"Fulton County, Kentucky",43,3,51,21,075
"Garrard County, Kentucky",40,8,51,21,079
"Green County, Kentucky",18,3,51,21,087
"Harrison County, Kentucky",20,10,51,21,097
"Jackson County, Kentucky",68,7,51,21,109
"Knott County, Kentucky",126,7,51,21,119
"Larue County, Kentucky",6,3,51,21,123
"Lee County, Kentucky",19,3,51,21,129
"Leslie County, Kentucky",15,4,51,21,131
"Letcher County, Kentucky",26,8,51,21,133
"Lyon County, Kentucky",7,3,51,21,143
"McCreary County, Kentucky",2,4,51,21,147
