region_key,region_name,state_name,mean_commute_time,housing_pre1960_pct,relative_weekly_wage,violent_crime_rate,property_crime_rate,natural_amenities_scale,healthcare_workers_per_1k,park_count
42_2,Northwest Pennsylvania,Pennsylvania,21.611899355250102,109.5940792261496,0.8269388429347299,205.02913225767324,1020.9077105859625,3.0,38.31344654188332,0
42_3,Southwestern Pennsylvania,Pennsylvania,26.52047266945823,121.10523489162475,1.156567297966389,831.738222609306,4276.010232320029,3.888888888888889,54.40105671725408,1
42_4,Northern Tier,Pennsylvania,25.56683750949127,129.4260779100682,0.9386184371604056,98.26495487952369,704.1352683970603,3.6,29.20039073402177,3
42_5,Southern Alleghenies,Pennsylvania,24.3109058919736,114.00120752113162,0.8021835660284274,138.9952888395499,905.76302908809,3.1666666666666665,40.43478460317533,0
42_6,SEDA-COG,Pennsylvania,22.900603695422078,124.12141144449485,0.8855550585665045,137.56708224608997,796.7182933486316,3.3636363636363638,41.924300054295095,8
42_7,Northeastern Pennsylvania,Pennsylvania,28.216017321098853,100.9110703261867,0.8548409642959677,170.68267230289266,927.661297071537,4.0,39.43606600767974,2
45_1,Appalachian Council of Governments,South Carolina,24.761904748534334,124.84130362364438,1.0194921353665585,447.8410405080949,2336.568493269217,4.166666666666667,31.94479034914596,1
45_10,Waccamaw Regional Council of Governments,South Carolina,24.19899262358252,82.29485303896794,0.8014819240091365,443.6305428876114,2307.943004227903,3.6666666666666665,29.9744374804623,0
45_2,Berkeley-Charleston-Dorchester Council of Governments,South Carolina,27.04803739613255,122.357260469049,1.133732602220176,429.0525990853848,2351.3874816715997,3.6666666666666665,36.33690897911122,0
45_3,Catawba Regional Council of Governments,South Carolina,28.325940486719354,126.01766040624402,1.091503973365636,328.6908964441828,1739.834108840785,3.5,15.463929242806193,0
45_4,Central Midlands Council of Governments,South Carolina,24.631755801554586,122.19673955544862,1.0035389733114204,582.3945625879591,2547.3600923529907,4.0,42.84037330324079,0
45_5,Lowcountry Council of Governments,South Carolina,25.682061875355313,102.97555717812317,0.8910650459245556,479.7692469362168,1851.677380546879,3.75,24.452287600646457,0
45_6,Lower Savannah Council of Governments,South Carolina,26.990975918279673,92.82489342462215,1.0003367925634086,639.8973585294933,2647.2731023900246,3.3333333333333335,14.15510983024184,0
45_7,Pee Dee Regional Council of Governments,South Carolina,24.09655868822418,80.19281332164768,0.891629825953475,882.7084376182744,3090.7004285348016,3.3333333333333335,53.25246926392128,0
45_8,Santee Lynches Regional Council of Governments,South Carolina,25.939029609298768,98.90823779809415,0.8443378043672666,608.601816203166,2576.1552460470602,3.75,15.368224675122772,0
45_9,Upper Savannah Council of Governments,South Carolina,25.434261704000228,76.29250734110069,0.885659704526894,345.5655509130157,1674.5569256709807,3.1666666666666665,8.823557930051486,0
47_1,First Tennessee Development District,Tennessee,23.107817192560464,108.04281816581587,0.8446443189350352,355.3391540536057,1748.530994756722,4.125,38.68991353799737,1
47_2,East Tennessee Development District,Tennessee,25.002528783172885,113.88566050837856,0.9152853907890799,376.49660171031144,1439.7787587491505,3.9375,34.02011888866186,2
47_3,Southeast Tennessee Development District,Tennessee,24.07562218846492,115.83531048753946,0.9216622670166069,500.48247410922374,2223.1326451136556,3.5,42.27013447746479,0
47_4,Upper Cumberland Development District,Tennessee,25.87770764455839,91.63645174163389,0.717759482268688,234.43648262436315,1018.9288820776209,3.5,13.875037574129896,0
47_5,South Central Tennessee Development District,Tennessee,27.981057620007117,109.04722623221282,0.828345589029916,372.0281097418707,1340.6283379248196,3.230769230769231,18.61440564814996,0
47_6,Southwest Tennessee Development District,Tennessee,24.018952364641695,93.86765847876732,0.8073890834280817,638.4045058232036,1904.0762426016672,3.375,45.929326035766564,0
47_7,Northwest Tennessee Development District,Tennessee,23.39704127851323,93.41219150784323,0.7034695956916138,282.68484421606956,1139.248285218608,3.25,13.075355837820208,0
47_8,Greater Nashville Regional Council,Tennessee,27.681715499505028,142.91833503441418,1.1332225696842895,613.0081417384176,2338.5691856588787,3.3846153846153846,54.47245979912106,0
47_9,MidSouth Development District,Tennessee,23.82101595869685,113.33271598213311,1.0803893448967539,1683.768501974018,5806.503594940068,3.0,54.040219725011966,0
51_1,Southwest Virginia,Virginia,25.192663921097626,83.32203812134047,0.6982889419783311,192.12555080938284,1469.544592286375,3.4375,17.404632060681454,3
51_2,Central/Western Virginia,Virginia,21.561910054475902,121.84460805155862,0.862810214630453,274.85103876183894,1859.7584885563845,3.5625,34.34308859604085,11
51_3,Southside Virginia,Virginia,27.3864615799815,84.22780278501672,0.7021653586760394,234.2099372710448,1189.0658353760734,3.1333333333333333,21.281905333374457,3
51_4,Greater Richmond,Virginia,25.8270634937149,211.1099308879723,1.012913210160831,241.17505847936894,1737.3536620087873,3.3125,30.71441077791606,20
51_5,Hampton Roads,Virginia,24.265016456507798,149.2997513192212,0.9004753798017238,396.74995991846265,2313.563592221891,3.875,38.08604933464648,29
51_6,Mary Ball Washington Regional Council,Virginia,31.780575120085096,183.77682988586344,1.0463180983124523,288.64858641182764,1892.1477141736366,3.466666666666667,40.50939685078514,29
51_7,Northern Virginia,Virginia,33.17216100343367,265.7556156129547,1.331957104386824,220.0321833835885,1497.1801874900907,2.75,21.317366472318056,15
51_8,Shenandoah Valley,Virginia,26.327593268829244,149.37040996560378,0.8212636727519237,143.42856308667027,1121.5164742120553,3.5625,18.25524359563985,10
51_9,Central Virginia,Virginia,29.86085082371076,203.4762814390322,0.9392560820328937,160.91627620805528,1269.3003747951923,3.090909090909091,18.453535988677267,14
54_1,Region I Planning and Development Council,West Virginia,26.785478848449788,87.11818743927215,0.9194434088407306,270.6598657285135,1340.6987762343501,3.1666666666666665,32.55478720187093,0
54_10,Region X - Bel-O-Mar Regional Council,West Virginia,23.752818982901026,105.59486571027936,1.0460856668728526,462.3468404387133,1088.7522371621312,3.0,46.05112202285347,0
54_11,Region XI - Brooke-Hancock Regional Planning and Development Council,West Virginia,24.342063160823596,83.30923549611423,0.9895426663914877,70.23567972530046,138.52036834712035,4.0,13.520368347120337,0
54_2,Region II Planning and Development Council,West Virginia,26.037105003377146,103.20511176646579,0.9924321805932886,269.8071709886962,1342.642320085929,3.1666666666666665,51.225001278706976,0
54_3,Region III - BCKP Regional Intergovernmental Council,West Virginia,29.021559759061606,104.76963222702439,0.8269381326271078,247.23498680830988,784.5124316390893,2.8,18.88770464592106,0
54_4,Region IV Planning and Development Council,West Virginia,24.83534640988412,103.68786458146943,1.1208669511037317,357.30872372619814,1815.0084645462853,3.0,60.05333413234655,0
54_5,Region V - Mid-Ohio Valley Regional Council,West Virginia,25.493341320433416,109.17151253673482,0.9461307532213754,195.54261533621607,1231.8567912505475,2.75,20.983867448695406,0
54_6,Region VI Planning and Development Council,West Virginia,24.03103177814955,116.76425330439929,1.085286682924867,215.55708251511166,1030.6977003756554,2.8333333333333335,87.44064952017558,0
54_7,Region VII Planning and Development Council,West Virginia,26.649749081410345,101.25534431001546,0.8729968226380508,280.12213685452565,644.010700485485,3.0,12.294749736541077,0
54_8,Region VIII Planning and Development Council,West Virginia,29.388240831997173,109.00363716521548,0.8782133330065938,176.31717500704045,539.9713484590613,4.0,15.684882026667974,0
54_9,Region IX - Eastern Panhandle Regional Planning and Development Council,West Virginia,33.19384493305092,148.85540316132602,0.9016148957986442,143.5312721906901,555.9948228018311,3.3333333333333335,26.873083102088508,1
